DatGeracaoConjuntoDados,AnoReferencia,MesReferencia,NomUF,SigUF,MdaPotenciaInstaladakW
4/2/2026,2010,12,RIO GRANDE DO SUL,RS,7150077.6
4/2/2026,2010,12,SANTA CATARINA,SC,5884521.1
4/2/2026,2010,12,SERGIPE,SE,3199544.4
4/2/2026,2010,12,SÃO PAULO,SP,22966983.9
4/2/2026,2010,12,TOCANTINS,TO,1795333
4/2/2026,2011,12,ACRE,AC,136843
4/2/2026,2011,12,ALAGOAS,AL,7690487
4/2/2026,2011,12,AMAZONAS,AM,2174906
4/2/2026,2011,12,AMAPA,AP,297949
4/2/2026,2011,12,BAHIA,BA,9724503
4/2/2026,2011,12,CEARA,CE,1381485
4/2/2026,2011,12,DISTRITO FEDERAL,DF,43258
4/2/2026,2011,12,ESPIRITO SANTO,ES,1966948
4/2/2026,2011,12,GOIAS,GO,9903194
4/2/2026,2011,12,MARANHAO,MA,1180450
4/2/2026,2011,12,MINAS GERAIS,MG,19500264
4/2/2026,2011,12,MATO GROSSO DO SUL,MS,8224679
4/2/2026,2011,12,MATO GROSSO,MT,2584740
4/2/2026,2011,12,PARA,PA,8872744
4/2/2026,2011,12,PARAIBA,PB,637470
4/2/2026,2011,12,PERNAMBUCO,PE,2806382
4/2/2026,2011,12,PIAUI,PI,316944
4/2/2026,2011,12,PARANA,PR,17753342
4/2/2026,2011,12,RIO DE JANEIRO,RJ,8667164
4/2/2026,2011,12,RIO GRANDE DO NORTE,RN,743320
4/2/2026,2011,12,RONDONIA,RO,1007058
4/2/2026,2011,12,RORAIMA,RR,122610
4/2/2026,2011,12,RIO GRANDE DO SUL,RS,8704267
4/2/2026,2011,12,SANTA CATARINA,SC,6958051
4/2/2026,2011,12,SERGIPE,SE,3225884
4/2/2026,2011,12,SÃO PAULO,SP,24084267
4/2/2026,2011,12,TOCANTINS,TO,2324505
4/2/2026,2012,3,ACRE,AC,180682.1
4/2/2026,2012,3,ALAGOAS,AL,7690486.5
4/2/2026,2012,3,AMAZONAS,AM,2258470
4/2/2026,2012,3,AMAPA,AP,297949
4/2/2026,2012,3,BAHIA,BA,9727907.3
4/2/2026,2012,3,CEARA,CE,1381485
4/2/2026,2012,3,DISTRITO FEDERAL,DF,43258
4/2/2026,2012,3,ESPIRITO SANTO,ES,1966948
4/2/2026,2012,3,GOIAS,GO,9971568.2
4/2/2026,2012,3,MARANHAO,MA,1316324.8
4/2/2026,2012,3,MINAS GERAIS,MG,19546728.45
4/2/2026,2012,3,MATO GROSSO DO SUL,MS,8297695
4/2/2026,2012,3,MATO GROSSO,MT,2617257.82
4/2/2026,2012,3,PARA,PA,8883553.4
4/2/2026,2012,3,PARAIBA,PB,637470
4/2/2026,2012,3,PERNAMBUCO,PE,2816455.7
4/2/2026,2012,3,PIAUI,PI,316944
4/2/2026,2012,3,PARANA,PR,17761687.2
4/2/2026,2012,3,RIO DE JANEIRO,RJ,8683482.4
4/2/2026,2012,3,RIO GRANDE DO NORTE,RN,847620
4/2/2026,2012,3,RONDONIA,RO,1149179.48
4/2/2026,2012,3,RORAIMA,RR,122610.4
4/2/2026,2012,3,RIO GRANDE DO SUL,RS,8792286.8
4/2/2026,2012,3,SANTA CATARINA,SC,7102818.1
4/2/2026,2012,3,SERGIPE,SE,3237779.4
4/2/2026,2012,3,SÃO PAULO,SP,24255748.98
4/2/2026,2012,3,TOCANTINS,TO,2460380
4/2/2026,2012,6,ACRE,AC,180682.1
4/2/2026,2012,6,ALAGOAS,AL,7690486.5
4/2/2026,2012,6,AMAZONAS,AM,2259370
4/2/2026,2012,6,AMAPA,AP,297949
4/2/2026,2012,6,BAHIA,BA,9727967.3
4/2/2026,2012,6,MARANHAO,CE,1381485
4/2/2026,2012,6,DISTRITO FEDERAL,DF,43258
4/2/2026,2012,6,ESPIRITO SANTO,ES,1970988
4/2/2026,2012,6,GOIAS,GO,10021568.2
4/2/2026,2012,6,CEARA,MA,1452199.8
4/2/2026,2012,6,MINAS GERAIS,MG,19593728.45
4/2/2026,2012,6,MATO GROSSO DO SUL,MS,8426416
4/2/2026,2012,6,MATO GROSSO,MT,2617257.82
4/2/2026,2012,6,PARA,PA,8883553.4
4/2/2026,2012,6,PARAIBA,PB,637470
4/2/2026,2012,6,PERNAMBUCO,PE,2815855.7
4/2/2026,2012,6,PIAUI,PI,316944
4/2/2026,2012,6,PARANA,PR,17761687.2
4/2/2026,2012,6,RIO DE JANEIRO,RJ,8695982.4
4/2/2026,2012,6,RIO GRANDE DO NORTE,RN,847620
4/2/2026,2012,6,RONDONIA,RO,1289300.48
4/2/2026,2012,6,RORAIMA,RR,122610.4
4/2/2026,2012,6,RIO GRANDE DO SUL,RS,8832485.4
4/2/2026,2012,6,SANTA CATARINA,SC,7122985.1
4/2/2026,2012,6,SERGIPE,SE,3237779.4
4/2/2026,2012,6,SÃO PAULO,SP,24489207.98
4/2/2026,2012,6,TOCANTINS,TO,2596255
4/2/2026,2012,9,ACRE,AC,297949
4/2/2026,2012,9,ALAGOAS,AL,8440948
4/2/2026,2012,9,AMAZONAS,AM,2732130
4/2/2026,2012,9,AMAPA,AP,316944
4/2/2026,2012,9,BAHIA,BA,10217748
4/2/2026,2012,9,CEARA,CE,1588075
4/2/2026,2012,9,DISTRITO FEDERAL,DF,43766
4/2/2026,2012,9,ESPIRITO SANTO,ES,1970988
4/2/2026,2012,9,GOIAS,GO,9814102
4/2/2026,2012,9,MARANHAO,MA,1352580
4/2/2026,2012,9,MINAS GERAIS,MG,19652361
4/2/2026,2012,9,MATO GROSSO DO SUL,MS,8752486
4/2/2026,2012,9,MATO GROSSO,MT,2625758
4/2/2026,2012,9,PARA,PA,8885585
4/2/2026,2012,9,PARAIBA,PB,122610
4/2/2026,2012,9,PERNAMBUCO,PE,2816730
4/2/2026,2012,9,PIAUI,PI,637470
4/2/2026,2012,9,PARANA,PR,17776227
4/2/2026,2012,9,RIO DE JANEIRO,RJ,8878279
4/2/2026,2012,9,RIO GRANDE DO NORTE,RN,855754
4/2/2026,2012,9,RONDONIA,RO,1381485
4/2/2026,2012,9,RORAIMA,RR,159722
4/2/2026,2012,9,RIO GRANDE DO SUL,RS,7690487
4/2/2026,2012,9,SANTA CATARINA,SC,7132165
4/2/2026,2012,9,SERGIPE,SE,3272279
4/2/2026,2012,9,SÃO PAULO,SP,24817144
4/2/2026,2012,9,TOCANTINS,TO,2259870
4/2/2026,2012,12,ACRE,AC,165480.9
4/2/2026,2012,12,ALAGOAS,AL,7690486.5
4/2/2026,2012,12,AMAZONAS,AM,2259870
4/2/2026,2012,12,AMAPA,AP,297949
4/2/2026,2012,12,BAHIA,BA,9741812.3
4/2/2026,2012,12,CEARA,CE,1769522
4/2/2026,2012,12,DISTRITO FEDERAL,DF,43766
4/2/2026,2012,12,ESPIRITO SANTO,ES,1872815
4/2/2026,2012,12,GOIAS,GO,10261018.2
4/2/2026,2012,12,MARANHAO,MA,1591274.8
4/2/2026,2012,12,MINAS GERAIS,MG,19662121.16
4/2/2026,2012,12,MATO GROSSO DO SUL,MS,8440948
4/2/2026,2012,12,MATO GROSSO,MT,2640048.82
4/2/2026,2012,12,PARA,PA,8885729.6
4/2/2026,2012,12,PARAIBA,PB,640470
4/2/2026,2012,12,PERNAMBUCO,PE,2817094.7
4/2/2026,2012,12,PIAUI,PI,316944
4/2/2026,2012,12,PARANA,PR,18130570.2
4/2/2026,2012,12,RIO DE JANEIRO,RJ,8699748.4
4/2/2026,2012,12,RIO GRANDE DO NORTE,RN,926704
4/2/2026,2012,12,RONDONIA,RO,1630940.48
4/2/2026,2012,12,RORAIMA,RR,122610.4
4/2/2026,2012,12,RIO GRANDE DO SUL,RS,8925936.4
4/2/2026,2012,12,SANTA CATARINA,SC,7177788.8
4/2/2026,2012,12,SERGIPE,SE,3282279.4
4/2/2026,2012,12,SÃO PAULO,SP,24923400.98
4/2/2026,2012,12,TOCANTINS,TO,2732130
4/2/2026,2013,3,ACRE,AC,189691
4/2/2026,2013,3,ALAGOAS,AL,7690487
4/2/2026,2013,3,AMAZONAS,AM,2262760
4/2/2026,2013,3,AMAPA,AP,297949
4/2/2026,2013,3,BAHIA,BA,9838077
4/2/2026,2013,3,CEARA,CE,1831551
4/2/2026,2013,3,DISTRITO FEDERAL,DF,43766
4/2/2026,2013,3,ESPIRITO SANTO,ES,1872815
4/2/2026,2013,3,GOIAS,GO,10575553
4/2/2026,2013,3,MARANHAO,MA,2633762
4/2/2026,2013,3,MINAS GERAIS,MG,19686402
4/2/2026,2013,3,MATO GROSSO DO SUL,MS,8437948
4/2/2026,2013,3,MATO GROSS,MT,2643031
4/2/2026,2013,3,PARA,PA,9054730
4/2/2026,2013,3,PARAIBA,PB,640470
4/2/2026,2013,3,PERNAMBUCO,PE,3210354
4/2/2026,2013,3,PIAUI,PI,316944
4/2/2026,2013,3,PARANA,PR,18141048
4/2/2026,2013,3,RIO DE JANEIRO,RJ,8700317
4/2/2026,2013,3,RIO GRANDE DO NORTE,RN,947204
4/2/2026,2013,3,RONDONIA,RO,1712459
4/2/2026,2013,3,RORAIMA,RR,122610
4/2/2026,2013,3,RIO GRANDE DO SUL,RS,9047087
4/2/2026,2013,3,SANTA CATARINA,SC,7208126
4/2/2026,2013,3,SERGIPE,SE,3282279
4/2/2026,2013,3,SÃO PAULO,SP,25009767
4/2/2026,2013,3,TOCANTINS,TO,2908080
4/2/2026,2013,6,ACRE,AC,189691
4/2/2026,2013,6,ALAGOAS,AL,7748087
4/2/2026,2013,6,AMAZONAS,AM,2262845
4/2/2026,2013,6,AMAPA,AP,297949
4/2/2026,2013,6,BAHIA,BA,9883307
4/2/2026,2013,6,CEARA,CE,2170028
4/2/2026,2013,6,DISTRITO FEDERAL,DF,16178
4/2/2026,2013,6,ESPIRITO SANTO,ES,1872815
4/2/2026,2013,6,GOIAS,GO,10572043
4/2/2026,2013,6,MARANHAO,MA,2802595
4/2/2026,2013,6,MINAS GERAIS,MG,19806043
4/2/2026,2013,6,MATO GROSSO DO SUL,MS,8494892
4/2/2026,2013,6,MATO GROSSO,MT,2761190
4/2/2026,2013,6,PARA,PA,9054730
4/2/2026,2013,6,PARAIBA,PB,641470
4/2/2026,2013,6,PERNAMBUCO,PE,3190834
4/2/2026,2013,6,PIAUI,PI,316944
4/2/2026,2013,6,PARANA,PR,18150542
4/2/2026,2013,6,RIO DE JANEIRO,RJ,8618687
4/2/2026,2013,6,RIO GRANDE DO NORTE,RN,902251
4/2/2026,2013,6,RONDONIA,RO,1784168
4/2/2026,2013,6,RORAIMA,RR,122610
4/2/2026,2013,6,RIO GRANDE DO SUL,RS,9113983
4/2/2026,2013,6,SANTA CATARINA,SC,7211578
4/2/2026,2013,6,SERGIPE,SE,3281999
4/2/2026,2013,6,SÃO PAULO,SP,24960679
4/2/2026,2013,6,TOCANTINS,TO,2908080
4/2/2026,2013,9,ACRE,AC,190896
4/2/2026,2013,9,ALAGOAS,AL,7748087
4/2/2026,2013,9,AMAZONAS,AM,2262845
4/2/2026,2013,9,AMAPA,AP,297949
